Point,X (px),Y (px),Distance (px),Distance (m),Angle (rad)
origin,576.7795,365.5154,0,0,0
keypoint1,693.0211,355.3188,116.6879,0.28733,-0.087495
keypoint2,564.5435,276.4649,89.8873,0.59997,-1.7073
keypoint3,566.5829,160.9031,204.8663,0.31089,-1.6206
