Point,X (px),Y (px),Distance (px),Distance (m),Angle (rad)
origin,427.25,364.25,0,0,0
keypoint1,521.25,378.25,95.0368,0.28733,0.14785
keypoint2,476.25,313.25,70.7248,0.59997,-0.8054
keypoint3,377.25,146.25,223.6605,0.31089,-1.7963
