step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAP_pcutoff,metrics/test.mAR,metrics/test.mAR_pcutoff,metrics/test.rmse,metrics/test.rmse_pcutoff
1,0.0002228268567705527,0.07578013092279434,0.0020059170201420784,0.0020059170201420784,0.0010179636301472783,0.2239576280117035,0.006107923109084368,0.006107923109084368,100.0,74.5043075736145,100.0,77.64705882352942,3.5092616081237793,3.019819498062134
2,0.00022835911659058183,0.03678099811077118,0.0010337044950574636,0.0010337044950574636,0.0003170975251123309,0.049943119287490845,0.0014071267796680331,0.0014071267796680331,100.0,100.0,100.0,100.0,2.731454849243164,2.731454849243164
3,8.874928607838228e-05,0.03357459604740143,0.0008837394416332245,0.0008837394416332245,0.00022699830878991634,0.03425741568207741,0.0009699345682747662,0.0009699345682747662,100.0,100.0,100.0,100.0,2.4664807319641113,2.4664807319641113
4,5.815319309476763e-05,0.022074628621339798,0.0005809423746541142,0.0005809423746541142,0.0001546652492834255,0.0264274999499321,0.0007380201132036746,0.0007380201132036746,100.0,100.0,100.0,100.0,1.7244774103164673,1.7244772911071777
5,7.018647738732398e-05,0.016747910529375076,0.00045379099901765585,0.00045379099901765585,0.00011990717757726088,0.02091393992304802,0.0005828021094202995,0.0005828021094202995,100.0,100.0,100.0,100.0,1.460457444190979,1.4604573249816895
6,4.5229291572468355e-05,0.025095820426940918,0.0006500101881101727,0.0006500101881101727,0.00014658129657618701,0.018900273367762566,0.0005457975203171372,0.0005457975203171372,100.0,100.0,100.0,100.0,1.9597276449203491,1.9597278833389282
7,4.942938176100142e-05,0.02341294288635254,0.0006100382306613028,0.0006100382306613028,0.00011041062680305913,0.018681369721889496,0.000522239541169256,0.000522239541169256,100.0,100.0,100.0,100.0,1.8213067054748535,1.8213067054748535
8,3.881815791828558e-05,0.017792299389839172,0.00046421654406003654,0.00046421654406003654,8.640623127575964e-05,0.016514552757143974,0.0004560669476632029,0.0004560669476632029,100.0,100.0,100.0,100.0,1.6347565650939941,1.6347565650939941
9,4.8539375711698085e-05,0.018043115735054016,0.000475347536848858,0.000475347536848858,7.734444079687819e-05,0.01596406288444996,0.0004377737350296229,0.0004377737350296229,100.0,100.0,100.0,100.0,1.5255471467971802,1.5255471467971802
10,3.956727960030548e-05,0.01573065295815468,0.00041304994374513626,0.00041304994374513626,7.785587513353676e-05,0.015887945890426636,0.00043612660374492407,0.00043612660374492407,100.0,100.0,100.0,100.0,1.6268815994262695,1.6268815994262695
