scorer,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_1,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_2,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_3,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_4,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_5,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_6,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_7,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_8,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_9,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_10,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_11,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_12,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_13,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_14,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_15,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_16,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_17,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_18,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_19,DLC_resnet50_UPPER_LIMB_PANCAMJun11shuffle1_1000000_20
2699,500.124237060547,152.233840942383,0.627060532569885,505.366882324219,155.436569213867,0.966096937656403,485.8095703125,168.914978027344,0.999886035919189,463.413909912109,180.670745849609,0.999793589115143,444.327667236328,190.315734863281,0.989051163196564,438.935211181641,173.529418945312,0.859886825084686,433.957733154297,157.76318359375,0.00154287496116012
2700,503.465850830078,153.08415222168,0.627564132213593,508.489593505859,156.801223754883,0.986326456069946,487.633972167969,168.560577392578,0.999868869781494,465.028411865234,180.578063964844,0.999841332435608,445.551483154297,190.172653198242,0.994105219841003,439.758087158203,173.211303710938,0.872450292110443,434.751708984375,157.817199707031,0.00173288187943399
2701,505.759613037109,154.203750610352,0.62455677986145,512.580261230469,158.354949951172,0.994275867938995,488.577117919922,168.903701782227,0.999890804290771,467.114196777344,180.069076538086,0.999870419502258,447.117309570312,189.572784423828,0.996277511119843,441.764526367188,172.459350585938,0.874777793884277,436.167755126953,157.554244995117,0.00281589548103511
2702,509.545074462891,152.721694946289,0.78009694814682,517.586791992188,156.1640625,0.995607316493988,490.59814453125,167.067977905273,0.999908924102783,470.417388916016,178.333541870117,0.999827980995178,450.076263427734,187.948043823242,0.998083829879761,444.45166015625,171.962814331055,0.904856979846954,436.817138671875,156.992767333984,0.00541344517841935
2703,512.8193359375,152.761428833008,0.760036110877991,519.843627929688,156.048721313477,0.992199957370758,493.482391357422,165.456130981445,0.999894618988037,472.180847167969,177.304153442383,0.999715745449066,451.943237304688,187.371078491211,0.997987627983093,446.013061523438,170.996215820312,0.913748741149902,436.797393798828,157.398300170898,0.00573937082663178
2704,514.255187988281,152.273513793945,0.794525384902954,520.085205078125,156.200714111328,0.985003590583801,495.506500244141,164.144378662109,0.999872922897339,474.216278076172,175.699066162109,0.999825298786163,453.519104003906,184.669967651367,0.998696625232697,446.948699951172,170.319000244141,0.972404718399048,437.485565185547,156.39794921875,0.00782575272023678
2705,516.197265625,151.771499633789,0.804859578609467,521.118347167969,155.64958190918,0.986817181110382,496.635009765625,163.594772338867,0.999871492385864,474.844390869141,175.445022583008,0.999849796295166,454.50439453125,184.582641601562,0.998270869255066,447.4970703125,170.207153320312,0.974842429161072,437.793823242188,156.315979003906,0.0113425282761455
2706,517.861694335938,151.378570556641,0.889320313930511,523.55712890625,155.645492553711,0.990561187267303,497.479949951172,163.242111206055,0.999806344509125,475.363067626953,175.531204223633,0.999822676181793,455.189361572266,183.833938598633,0.997994780540466,448.048126220703,170.011077880859,0.967919170856476,437.762298583984,156.301574707031,0.0073520946316421
2707,518.603149414062,152.654418945312,0.886173963546753,524.7509765625,157.786361694336,0.991747617721558,496.305389404297,163.25065612793,0.999758780002594,475.453033447266,175.678405761719,0.999805152416229,455.335845947266,183.818145751953,0.997853696346283,447.958984375,170.432327270508,0.958392024040222,437.347503662109,156.626556396484,0.00802050624042749
2708,520.379577636719,156.080413818359,0.852843582630157,526.233276367188,161.582550048828,0.995316743850708,497.559234619141,163.860534667969,0.99982088804245,475.870300292969,175.288146972656,0.99977308511734,455.241302490234,183.820236206055,0.99779886007309,447.855621337891,170.380828857422,0.956961512565613,437.4794921875,156.454956054688,0.00875794235616922
