Point,X (px),Y (px),Distance (px),Distance (m),Angle (rad)
origin,993.2444,751.2103,0,0,0
keypoint1,1228.151,739.333,235.2067,0.28733,-0.050519
keypoint2,1112.0174,191.6575,572.0196,0.59997,-1.3616
keypoint3,921.9806,623.1994,146.5105,0.31089,-2.0788
