Time	Left Crest X	Left Crest Y	Left Crest Z	Left Hip X	Left Hip Y	Left Hip Z	Left Knee X	Left Knee Y	Left Knee Z	Left Ankle X	Left Ankle Y	Left Ankle Z	Left Foot X	Left Foot Y	Left Foot Z	Right Crest X	Right Crest Y	Right Crest Z	Right Hip X	Right Hip Y	Right Hip Z	Right Knee X	Right Knee Y	Right Knee Z	Right Ankle X	Right Ankle Y	Right Ankle Z	Right Foot X	Right Foot Y	Right Foot Z	R1 X	R1 Y	R1 Z	R2 X	R2 Y	R2 Z	R3 X	R3 Y	R3 Z	R4 X	R4 Y	R4 Z	R5 X	R5 Y	R5 Z	R6 X	R6 Y	R6 Z	L1 X	L1 Y	L1 Z	L2 X	L2 Y	L2 Z	L3 X	L3 Y	L3 Z	L4 X	L4 Y	L4 Z	L5 X	L5 Y	L5 Z	L6 X	L6 Y	L6 Z
0.130000	0.19839334	0.00829803	0.33210939	0.18075214	-0.05925760	0.27344477	0.18742242	0.05957234	0.18936870	0.23411033	-0.00792726	0.06484520	0.21467087	0.02707161	0.02733892	0.28893304	0.00792212	0.34219563	0.29618740	-0.08070017	0.27992103	0.30883014	-0.06221950	0.14381815	0.29775855	-0.18719456	0.13023672	0.30344239	-0.24554099	0.07518049																																				
0.140000	0.19718027	0.01824318	0.33027029	0.18009141	-0.04938981	0.27096668	0.18790416	0.06952245	0.18563399	0.23438519	-0.00559764	0.06636216	0.21418963	0.02701627	0.02781775	0.28485394	0.01386803	0.34038526	0.29706401	-0.06794920	0.27791733	0.31048283	-0.04599427	0.14180526	0.29814631	-0.17594463	0.13507698	0.30442688	-0.23365439	0.07968962																																				
0.150000	0.19598483	0.02840170	0.32869169	0.17927308	-0.03944769	0.26900211	0.18784317	0.07914992	0.18214352	0.23451085	-0.00322050	0.06819011	0.21370248	0.02702945	0.02833465	0.28071842	0.02008741	0.33879665	0.29569370	-0.05863825	0.27489600	0.31384000	-0.02529869	0.14063159	0.29860443	-0.16285768	0.13980694	0.30750632	-0.21665439	0.08310658																																				
0.160000	0.19482596	0.03895206	0.32730797	0.17842001	-0.02938171	0.26761049	0.18748148	0.08819102	0.17855759	0.23472622	-0.00075136	0.06986573	0.21380740	0.02719730	0.02847236	0.27860183	0.02938375	0.33717322	0.29385534	-0.05051792	0.27192113	0.31696859	-0.00368866	0.14023528	0.30042067	-0.14674152	0.14412488	0.31152555	-0.19621831	0.08526260																																				
0.170000	0.19367911	0.04984810	0.32619479	0.17749251	-0.01928449	0.26675913	0.18717566	0.09655719	0.17481871	0.23465711	0.00175762	0.07122378	0.21388105	0.02735064	0.02851636	0.27739567	0.04009968	0.33558783	0.29253313	-0.04111313	0.26980945	0.31960082	0.01858268	0.14067681	0.30280492	-0.12759395	0.14778271	0.31659588	-0.17277677	0.08612586																																				
0.180000	0.19255170	0.06102325	0.32527170	0.17721331	-0.00895008	0.26609400	0.18716012	0.10415424	0.17115360	0.23492798	0.00402599	0.07289879	0.21393715	0.02750482	0.02854649	0.27588826	0.05056453	0.33418214	0.29239345	-0.03007074	0.26864618	0.31990504	0.03803785	0.14179124	0.30505419	-0.10813392	0.15068904	0.32204017	-0.14730033	0.08633813																																				
0.190000	0.19162263	0.07440642	0.32452738	0.17756674	0.00341155	0.26568240	0.18708251	0.11257773	0.16726333	0.23500468	0.00703951	0.07545276	0.21399401	0.02772716	0.02877008	0.27445447	0.06399184	0.33332342	0.29307404	-0.01506749	0.26912415	0.31845832	0.06085983	0.14449389	0.30834550	-0.08334028	0.15298820	0.32921538	-0.11369082	0.08631261																																				
0.200000	0.19059567	0.08800247	0.32401243	0.17808387	0.01583762	0.26594362	0.18785140	0.12091288	0.16363567	0.23592448	0.01007901	0.07813543	0.21425804	0.02789468	0.02901889	0.27313057	0.07804667	0.33319750	0.29519257	0.00197782	0.27018467	0.31661880	0.08422742	0.14843282	0.31314668	-0.05685136	0.15499496	0.33394998	-0.08222979	0.08590619																																				
0.210000	0.18951175	0.10176160	0.32381755	0.17824440	0.02820442	0.26681152	0.18861498	0.12918296	0.16023032	0.23672171	0.01350929	0.08053274	0.21459122	0.02793566	0.02951208	0.27143949	0.09229456	0.33345443	0.29952636	0.02214484	0.27268773	0.31429702	0.10789552	0.15341057	0.31682479	-0.03282896	0.15506674	0.33762974	-0.05075631	0.08485433																																				
0.220000	0.18835887	0.11361676	0.32385388	0.17803569	0.03863076	0.26822251	0.18984203	0.13593292	0.15742064	0.23786001	0.01649796	0.08214356	0.21507686	0.02786600	0.03011475	0.26981917	0.10454258	0.33377251	0.30500817	0.04143800	0.27502379	0.31274807	0.12858967	0.15870763	0.31842473	-0.01415080	0.15301856	0.33810833	-0.02510036	0.08300947																																				
0.230000	0.18826835	0.12599064	0.32359260	0.17854595	0.05040629	0.26979086	0.19031620	0.14220701	0.15485314	0.23866029	0.01976001	0.08389793	0.21565223	0.02781918	0.03084051	0.26805758	0.11653361	0.33401340	0.30856693	0.05854071	0.27728191	0.31066051	0.14864947	0.16461268	0.31792220	0.00243464	0.14846317	0.33984345	0.00451674	0.08089522																																				
0.240000	0.18840423	0.13840792	0.32339889	0.17905115	0.06217781	0.27143380	0.19074692	0.14833015	0.15261053	0.23949696	0.02326435	0.08562307	0.21644542	0.02788054	0.03164106	0.26669759	0.12876916	0.33448988	0.31183895	0.07548028	0.27971426	0.30813959	0.16782147	0.17109947	0.31917438	0.02325367	0.14415894	0.34241790	0.03749551	0.07912421																																				
0.250000	0.18847094	0.15066032	0.32340562	0.17944618	0.07399605	0.27302161	0.19105045	0.15426463	0.15057378	0.24037276	0.02699353	0.08718677	0.21734352	0.02808091	0.03250737	0.26537284	0.14085840	0.33523539	0.31445524	0.09160350	0.28234062	0.30567181	0.18650897	0.17816460	0.31815654	0.04259532	0.13810068	0.34337220	0.07029069	0.07639495																																				
0.260000	0.18751825	0.16217265	0.32408562	0.17916818	0.08455153	0.27435315	0.19147907	0.16013291	0.14876628	0.24130434	0.03088265	0.08854824	0.21822439	0.02846038	0.03352483	0.26428613	0.15302119	0.33632785	0.31474254	0.10437968	0.28410286	0.30325639	0.20430529	0.18559545	0.31696096	0.06420159	0.13168478	0.34405145	0.10406101	0.07347684																																				
0.270000	0.18618086	0.17353702	0.32511339	0.17843422	0.09513035	0.27581415	0.19212025	0.16570428	0.14722238	0.24227740	0.03487581	0.08971596	0.21905236	0.02903009	0.03463709	0.26333910	0.16505802	0.33778682	0.31440723	0.11655740	0.28581816	0.30145049	0.22172193	0.19325675	0.31294090	0.08502655	0.12376332	0.34046787	0.13461764	0.06909374																																				
0.280000	0.18460788	0.18667600	0.32664633	0.17739725	0.10783052	0.27737850	0.19317301	0.17208961	0.14602940	0.24336289	0.03935053	0.09067810	0.21990059	0.02995708	0.03596244	0.26360816	0.18031332	0.33947504	0.31292126	0.12926449	0.28760988	0.29929680	0.24030596	0.20188816	0.30955034	0.11420726	0.11567607	0.33448985	0.16987768	0.06419400																																				
0.290000	0.18294060	0.19977786	0.32859910	0.17606120	0.12075318	0.27894011	0.19448020	0.17827936	0.14534090	0.24419470	0.04380176	0.09162128	0.22073525	0.03093098	0.03715700	0.26434389	0.19585864	0.34155610	0.31254658	0.14376341	0.29059792	0.29720211	0.25759882	0.20976022	0.30440700	0.14420588	0.10828701	0.32728350	0.20440875	0.05974183																																				
0.300000	0.18139261	0.21276243	0.33073783	0.17484307	0.13379119	0.28064215	0.19571258	0.18438999	0.14505601	0.24469887	0.04820158	0.09254713	0.22145714	0.03197422	0.03828540	0.26465479	0.21091072	0.34367752	0.30973384	0.15569380	0.29339045	0.29510960	0.27373046	0.21678074	0.29806489	0.17425039	0.10128040	0.32015693	0.23819718	0.05557193																																				
0.310000	0.18012141	0.22390153	0.33282745	0.17458177	0.14529027	0.28192827	0.19693670	0.18914695	0.14519450	0.24439472	0.05225949	0.09357763	0.22186509	0.03293248	0.03922323	0.26606047	0.22540413	0.34672928	0.30737606	0.16630544	0.29591280	0.29359061	0.28694096	0.22175662	0.29138258	0.20065062	0.09637964	0.31247944	0.26459607	0.05236804																																				
0.320000	0.17896622	0.23510802	0.33491668	0.17489542	0.15721557	0.28276196	0.19787858	0.19401585	0.14586714	0.24333522	0.05612591	0.09503389	0.22207893	0.03415032	0.04041377	0.26700908	0.23916800	0.34952083	0.30499765	0.17580622	0.29736084	0.29260820	0.30011141	0.22582363	0.28547642	0.22776736	0.09273904	0.30409345	0.28950420	0.04933371																																				
0.330000	0.17770478	0.24657471	0.33638510	0.17529659	0.16918743	0.28351560	0.19840091	0.19921252	0.14697622	0.24175477	0.06049049	0.09668797	0.22239551	0.03572769	0.04175634	0.26813513	0.25290683	0.35219568	0.30397800	0.18641706	0.29840562	0.29123259	0.31235746	0.22848897	0.28196868	0.25645790	0.09068062	0.29629889	0.31383103	0.04713722																																				
